Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-19 13:04:41,2036,3964,99,0,1,6,26.5,0
2025-06-19 13:04:42,2160,3964,100,0,1,2,25.75,2
2025-06-19 13:04:43,2201,3964,100,0,0,0,25.0,0
2025-06-19 13:04:44,2256,3964,100,0,0,1,25.25,0
2025-06-19 13:04:45,2101,3964,100,0,1,1,25.5,0
2025-06-19 13:04:46,2169,3964,100,0,1,0,25.25,0
2025-06-19 13:04:47,2258,3964,75,0,1,10,21.5,0
2025-06-19 13:04:48,2258,3964,5,3,4,1,3.25,0
2025-06-19 13:04:49,2258,3964,4,2,7,2,3.75,0
2025-06-19 13:04:50,2258,3964,10,0,2,1,3.25,0
2025-06-19 13:04:51,2258,3964,2,1,6,2,2.75,0
