Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-18 15:31:09,2338,3964,2,10,0,100,28.0,0
2025-06-18 15:31:10,2339,3964,2,1,0,100,25.75,0
2025-06-18 15:31:11,2381,3964,0,1,0,100,25.25,0
2025-06-18 15:31:12,2080,3964,1,1,0,100,25.5,0
2025-06-18 15:31:13,2192,3964,1,1,0,100,25.5,0
2025-06-18 15:31:14,2133,3964,2,1,42,59,26.0,0
2025-06-18 15:31:15,2133,3964,5,3,13,1,5.5,0
2025-06-18 15:31:16,2133,3964,7,2,4,3,4.0,0
2025-06-18 15:31:17,2133,3964,5,3,4,0,3.0,0
2025-06-18 15:31:18,2133,3964,6,0,5,1,3.0,0
2025-06-18 15:31:19,2133,3964,9,3,4,1,4.25,0
