Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-19 13:59:45,1966,3964,1,0,100,0,25.25,0
2025-06-19 13:59:46,2090,3964,2,1,100,1,26.0,0
2025-06-19 13:59:46,2131,3964,1,0,100,0,25.25,0
2025-06-19 13:59:46,2181,3964,1,0,100,6,26.75,0
2025-06-19 13:59:46,2168,3964,0,5,100,1,26.5,0
2025-06-19 13:59:46,2045,3964,3,15,100,0,29.5,0
2025-06-19 13:59:46,1757,3964,16,1,48,2,16.75,0
2025-06-19 13:59:47,1757,3964,6,4,2,2,3.5,0
2025-06-19 13:59:48,1757,3964,9,4,2,0,3.75,0
2025-06-19 13:59:49,1757,3964,7,6,5,5,5.75,10
2025-06-19 13:59:50,1757,3964,6,4,0,2,3.0,0
2025-06-19 13:59:51,1757,3964,6,4,2,2,3.5,0
2025-06-19 13:59:52,1757,3964,6,3,3,1,3.25,0
2025-06-19 13:59:53,1757,3964,7,2,2,1,3.0,0
2025-06-19 13:59:54,1757,3964,6,3,3,2,3.5,0
2025-06-19 13:59:55,1757,3964,5,6,2,0,3.25,31
2025-06-19 13:59:56,1757,3964,8,2,2,1,3.25,0
