Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-19 12:58:56,1836,3964,100,3,1,0,26.0,0
2025-06-19 12:58:57,1852,3964,100,3,1,1,26.25,0
2025-06-19 12:58:58,1868,3964,100,0,0,1,25.25,0
2025-06-19 12:58:59,1881,3964,56,44,0,2,25.5,0
2025-06-19 12:59:00,1896,3964,0,100,0,1,25.25,0
2025-06-19 12:59:01,1912,3964,82,20,1,1,26.0,31
2025-06-19 12:59:24,1927,3964,100,4,0,0,26.0,0
2025-06-19 12:59:25,1941,3964,100,1,0,1,25.5,0
2025-06-19 12:59:26,1957,3964,100,1,0,1,25.5,0
2025-06-19 12:59:27,1971,3964,100,0,1,1,25.5,0
2025-06-19 12:59:28,1985,3964,100,1,1,0,25.5,0
