Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-19 13:06:57,1837,3964,36,0,0,65,25.25,0
2025-06-19 13:06:58,1853,3964,48,0,1,55,26.0,0
2025-06-19 13:06:59,1869,3964,100,0,1,4,26.25,0
2025-06-19 13:07:00,1884,3964,100,0,0,3,25.75,0
2025-06-19 13:07:01,1899,3964,100,0,1,4,26.25,0
2025-06-19 13:07:02,1913,3964,100,0,3,3,26.5,0
2025-06-19 13:07:03,1928,3964,1,100,0,3,26.0,0
2025-06-19 13:07:04,1944,3964,1,100,1,3,26.25,0
2025-06-19 13:07:05,1960,3964,3,100,1,3,26.75,0
2025-06-19 13:07:06,1975,3964,0,100,1,4,26.25,0
2025-06-19 13:07:07,1990,3964,1,100,2,4,26.75,0
2025-06-19 13:07:08,2004,3964,84,12,0,3,24.75,0
2025-06-19 13:07:10,2020,3964,100,0,1,4,26.25,0
2025-06-19 13:07:11,2036,3964,100,1,0,4,26.25,0
2025-06-19 13:07:12,2051,3964,100,1,1,3,26.25,0
2025-06-19 13:07:13,2065,3964,100,0,1,3,26.0,0
2025-06-19 13:07:14,2294,3964,100,1,1,1,25.75,0
2025-06-19 13:07:15,2382,3964,100,0,1,0,25.25,0
2025-06-19 13:07:16,2415,3964,100,1,1,1,25.75,0
2025-06-19 13:07:17,2497,3964,100,0,0,0,25.0,0
2025-06-19 13:07:18,2509,3964,100,1,2,1,26.0,0
2025-06-19 13:07:19,2674,3964,100,0,1,0,25.25,0
2025-06-19 13:07:20,2634,3964,69,0,2,0,17.75,0
2025-06-19 13:07:21,2634,3964,6,3,3,1,3.25,0
2025-06-19 13:07:22,2634,3964,4,4,3,0,2.75,0
2025-06-19 13:07:23,2634,3964,9,5,3,3,5.0,0
2025-06-19 13:07:24,2634,3964,7,0,3,2,3.0,0
2025-06-19 13:07:25,2701,3964,4,41,1,1,11.75,0
2025-06-19 13:07:26,2726,3964,1,100,3,0,26.0,0
2025-06-19 13:07:27,2745,3964,1,100,0,0,25.25,0
2025-06-19 13:07:28,2755,3964,5,99,4,3,27.75,0
2025-06-19 13:07:29,2879,3964,36,26,79,45,46.5,0
2025-06-19 13:07:30,2975,3964,23,33,39,79,43.5,0
2025-06-19 13:07:31,3097,3964,63,75,42,51,57.75,0
2025-06-19 13:07:32,3172,3964,84,56,29,18,46.75,0
2025-06-19 13:07:33,3096,3964,36,41,66,22,41.25,0
2025-06-19 13:07:34,3096,3964,100,100,100,100,100.0,0
2025-06-19 13:07:35,3096,3964,100,100,100,100,100.0,0
2025-06-19 13:07:36,3096,3964,100,100,100,100,100.0,0
2025-06-19 13:07:37,3096,3964,100,100,100,100,100.0,0
2025-06-19 13:07:38,3096,3964,100,100,100,100,100.0,0
2025-06-19 13:07:39,3096,3964,99,100,100,100,99.75,0
2025-06-19 13:07:40,3069,3964,100,100,100,100,100.0,0
2025-06-19 13:07:41,3069,3964,100,100,100,100,100.0,0
2025-06-19 13:07:42,3069,3964,100,100,100,100,100.0,0
2025-06-19 13:07:43,3069,3964,100,100,100,100,100.0,0
2025-06-19 13:07:44,3069,3964,100,100,100,100,100.0,0
2025-06-19 13:07:46,3051,3964,100,100,100,100,100.0,0
2025-06-19 13:07:47,3041,3964,100,100,100,100,100.0,0
2025-06-19 13:07:48,3028,3964,100,100,100,100,100.0,0
2025-06-19 13:07:49,3011,3964,100,100,99,100,99.75,0
2025-06-19 13:07:50,3011,3964,100,100,100,100,100.0,0
2025-06-19 13:07:51,3011,3964,100,100,100,100,100.0,0
