Time,RAM Used (MB),RAM Total (MB),CPU Core 0 (%),CPU Core 1 (%),CPU Core 2 (%),CPU Core 3 (%),Average CPU Usage (%),GPU Usage (%)
2025-06-19 13:11:10,1715,3964,98,1,1,5,26.25,0
2025-06-19 13:11:10,1730,3964,99,0,1,4,26.0,0
2025-06-19 13:11:10,1746,3964,100,1,0,3,26.0,34
2025-06-19 13:11:10,1762,3964,51,0,48,3,25.5,0
2025-06-19 13:11:10,1776,3964,64,0,36,4,26.0,0
2025-06-19 13:11:10,1790,3964,96,0,1,1,24.5,0
2025-06-19 13:11:11,1806,3964,97,2,0,4,25.75,0
2025-06-19 13:11:11,1820,3964,95,1,0,3,24.75,0
2025-06-19 13:11:11,1835,3964,100,2,0,2,26.0,33
2025-06-19 13:11:11,1850,3964,95,0,0,7,25.5,0
2025-06-19 13:11:11,1866,3964,2,1,1,99,25.75,0
2025-06-19 13:11:11,1882,3964,0,1,0,100,25.25,0
2025-06-19 13:11:11,1897,3964,5,1,1,100,26.75,0
2025-06-19 13:11:11,1912,3964,1,0,0,100,25.25,0
2025-06-19 13:11:11,1926,3964,1,0,0,100,25.25,32
2025-06-19 13:11:12,1942,3964,1,0,0,100,25.25,0
2025-06-19 13:11:12,1958,3964,1,0,0,100,25.25,0
2025-06-19 13:11:12,2208,3964,1,1,0,100,25.5,0
2025-06-19 13:11:12,2221,3964,1,1,0,100,25.5,0
2025-06-19 13:11:12,2317,3964,48,0,1,52,25.25,0
2025-06-19 13:11:12,2400,3964,100,0,1,0,25.25,34
2025-06-19 13:11:12,2431,3964,100,1,0,1,25.5,0
2025-06-19 13:11:12,2536,3964,95,1,0,1,24.25,0
2025-06-19 13:11:12,2536,3964,6,5,0,4,3.75,0
2025-06-19 13:11:12,2536,3964,7,5,3,0,3.75,28
2025-06-19 13:11:13,2536,3964,4,5,2,2,3.25,0
2025-06-19 13:11:14,2536,3964,7,4,1,4,4.0,0
2025-06-19 13:11:15,2549,3964,2,16,2,1,5.25,0
2025-06-19 13:11:16,2661,3964,56,99,56,55,66.5,0
2025-06-19 13:11:17,2714,3964,81,94,77,95,86.75,0
2025-06-19 13:11:18,2746,3964,83,98,83,82,86.5,0
2025-06-19 13:11:19,2748,3964,97,97,98,96,97.0,0
2025-06-19 13:11:20,2748,3964,97,98,96,98,97.25,0
2025-06-19 13:11:21,2749,3964,98,97,97,96,97.0,0
2025-06-19 13:11:22,2749,3964,97,95,95,97,96.0,0
2025-06-19 13:11:23,2749,3964,96,96,98,94,96.0,0
2025-06-19 13:11:24,2749,3964,98,97,97,97,97.25,0
2025-06-19 13:11:25,2748,3964,97,97,97,98,97.25,0
2025-06-19 13:11:26,2748,3964,96,96,98,97,96.75,0
2025-06-19 13:11:27,2748,3964,97,97,97,96,96.75,0
2025-06-19 13:11:28,2748,3964,98,95,95,97,96.25,0
2025-06-19 13:11:29,2748,3964,97,95,98,95,96.25,0
2025-06-19 13:11:30,2748,3964,98,96,98,98,97.5,0
2025-06-19 13:11:31,2748,3964,97,95,97,96,96.25,0
2025-06-19 13:11:32,2748,3964,98,97,97,98,97.5,0
2025-06-19 13:11:33,2748,3964,97,99,97,98,97.75,0
2025-06-19 13:11:34,2748,3964,98,96,97,95,96.5,0
2025-06-19 13:11:35,2748,3964,98,95,95,96,96.0,0
2025-06-19 13:11:36,2748,3964,98,98,98,96,97.5,0
2025-06-19 13:11:37,2748,3964,98,97,96,97,97.0,0
2025-06-19 13:11:38,2748,3964,98,97,96,95,96.5,0
2025-06-19 13:11:39,2748,3964,97,97,95,97,96.5,0
2025-06-19 13:11:40,2748,3964,99,97,97,97,97.5,0
2025-06-19 13:11:41,2748,3964,98,97,95,96,96.5,0
2025-06-19 13:11:42,2748,3964,97,97,96,96,96.5,0
2025-06-19 13:11:43,2748,3964,96,97,96,96,96.25,0
2025-06-19 13:11:44,2748,3964,95,96,97,95,95.75,0
2025-06-19 13:11:45,2748,3964,97,95,97,97,96.5,0
2025-06-19 13:11:46,2748,3964,96,97,96,95,96.0,0
2025-06-19 13:11:47,2748,3964,95,97,95,95,95.5,0
2025-06-19 13:11:48,2748,3964,97,97,96,96,96.5,0
2025-06-19 13:11:49,2748,3964,96,98,97,96,96.75,0
2025-06-19 13:11:50,2748,3964,97,94,97,96,96.0,0
2025-06-19 13:11:51,2748,3964,96,96,97,95,96.0,0
2025-06-19 13:11:52,2748,3964,97,94,95,95,95.25,0
2025-06-19 13:11:53,2748,3964,96,96,97,97,96.5,0
2025-06-19 13:11:54,2748,3964,96,96,96,97,96.25,0
2025-06-19 13:11:55,2748,3964,98,96,97,96,96.75,0
2025-06-19 13:11:56,2749,3964,97,96,96,96,96.25,0
2025-06-19 13:11:57,2749,3964,98,97,97,95,96.75,0
2025-06-19 13:11:58,2749,3964,97,97,96,97,96.75,0
2025-06-19 13:11:59,2749,3964,98,96,96,95,96.25,0
2025-06-19 13:12:00,2749,3964,94,93,96,94,94.25,0
2025-06-19 13:12:01,2749,3964,96,96,95,97,96.0,0
2025-06-19 13:12:02,2749,3964,97,97,96,96,96.5,0
2025-06-19 13:12:03,2749,3964,97,97,96,98,97.0,0
2025-06-19 13:12:04,2749,3964,97,96,95,97,96.25,0
2025-06-19 13:12:05,2749,3964,99,97,96,97,97.25,0
2025-06-19 13:12:06,2749,3964,98,96,95,96,96.25,0
2025-06-19 13:12:07,2749,3964,99,96,94,95,96.0,0
2025-06-19 13:12:08,2749,3964,98,96,97,95,96.5,0
2025-06-19 13:12:09,2749,3964,99,97,98,97,97.75,0
2025-06-19 13:12:10,2749,3964,96,96,94,96,95.5,0
2025-06-19 13:12:11,2749,3964,97,97,97,99,97.5,0
2025-06-19 13:12:12,2749,3964,97,97,96,97,96.75,0
2025-06-19 13:12:13,2749,3964,98,97,95,97,96.75,0
2025-06-19 13:12:14,2749,3964,98,98,97,97,97.5,0
2025-06-19 13:12:15,2749,3964,96,96,95,97,96.0,0
2025-06-19 13:12:16,2749,3964,98,96,97,95,96.5,0
2025-06-19 13:12:17,2749,3964,97,97,97,96,96.75,0
2025-06-19 13:12:18,2749,3964,96,95,97,96,96.0,0
2025-06-19 13:12:19,2749,3964,97,95,98,97,96.75,0
2025-06-19 13:12:20,2749,3964,96,96,97,95,96.0,0
2025-06-19 13:12:21,2749,3964,97,97,94,97,96.25,0
2025-06-19 13:12:22,2749,3964,96,96,95,95,95.5,0
2025-06-19 13:12:23,2749,3964,96,97,96,96,96.25,0
2025-06-19 13:12:24,2749,3964,97,96,97,96,96.5,0
2025-06-19 13:12:25,2749,3964,96,96,97,97,96.5,0
2025-06-19 13:12:26,2748,3964,96,97,95,95,95.75,0
2025-06-19 13:12:27,2748,3964,97,97,96,98,97.0,0
2025-06-19 13:12:28,2748,3964,98,94,95,95,95.5,0
2025-06-19 13:12:29,2748,3964,98,94,96,96,96.0,0
2025-06-19 13:12:30,2748,3964,96,97,95,97,96.25,0
2025-06-19 13:12:31,2748,3964,97,96,97,94,96.0,0
2025-06-19 13:12:32,2748,3964,97,97,97,95,96.5,0
2025-06-19 13:12:33,2748,3964,94,98,96,94,95.5,0
2025-06-19 13:12:34,2748,3964,97,97,97,96,96.75,0
2025-06-19 13:12:35,2748,3964,97,97,95,95,96.0,0
2025-06-19 13:12:36,2748,3964,96,97,96,97,96.5,0
2025-06-19 13:12:37,2748,3964,98,97,98,98,97.75,0
2025-06-19 13:12:38,2748,3964,97,97,97,97,97.0,0
2025-06-19 13:12:39,2748,3964,98,97,97,97,97.25,0
2025-06-19 13:12:40,2748,3964,96,96,95,97,96.0,0
2025-06-19 13:12:41,2748,3964,97,97,97,98,97.25,0
2025-06-19 13:12:42,2748,3964,97,96,96,95,96.0,0
2025-06-19 13:12:43,2748,3964,98,96,94,94,95.5,0
2025-06-19 13:12:44,2748,3964,98,98,97,95,97.0,0
2025-06-19 13:12:45,2748,3964,96,97,96,95,96.0,0
2025-06-19 13:12:46,2748,3964,96,95,98,97,96.5,0
2025-06-19 13:12:47,2748,3964,96,96,97,96,96.25,0
2025-06-19 13:12:48,2748,3964,95,97,98,96,96.5,0
2025-06-19 13:12:49,2628,3964,35,39,33,33,35.0,0
2025-06-19 13:12:50,2628,3964,7,3,2,1,3.25,0
2025-06-19 13:12:51,2628,3964,5,2,1,0,2.0,0
2025-06-19 13:12:52,2628,3964,6,4,0,1,2.75,0
2025-06-19 13:12:53,2628,3964,9,1,2,1,3.25,0
2025-06-19 13:12:54,2627,3964,8,6,2,2,4.5,0
