prediction,inference time (ms)
Normal,5.64
Normal,2.57
Normal,2.58
Normal,2.48
Normal,2.53
Normal,2.52
Normal,2.47
Normal,2.61
Normal,2.54
Normal,2.52
Normal,2.51
Normal,2.44
Normal,2.54
Normal,2.46
Normal,2.48
Normal,2.49
Normal,3.11
Normal,5.71
Normal,2.59
Normal,2.51
Normal,2.51
Normal,2.52
Normal,2.48
Normal,2.51
Normal,2.45
Normal,2.53
Normal,2.47
Normal,2.55
Normal,2.53
Normal,2.5
Normal,2.51
Normal,2.47
Normal,2.51
Normal,2.51
Normal,2.46
Normal,2.5
Normal,2.46
Normal,3.63
Normal,2.58
Normal,2.46
Normal,2.54
Normal,2.52
Normal,2.47
Normal,2.52
Normal,2.46
Normal,2.49
Normal,2.52
Normal,2.51
Normal,2.52
Normal,2.51
Normal,2.52
Normal,2.51
Normal,2.48
Normal,2.53
Normal,2.47
Normal,2.52
Normal,2.62
Normal,2.49
Normal,2.53
Normal,2.45
Normal,2.51
Normal,2.51
Normal,2.51
Normal,2.49
Normal,2.46
Normal,2.54
Normal,2.53
Normal,2.69
Normal,2.55
Normal,2.53
Normal,2.51
Normal,2.5
Normal,2.69
Normal,2.53
Normal,2.53
Normal,2.48
Normal,2.52
Normal,2.56
Normal,2.52
Normal,2.56
Normal,2.49
Normal,2.54
Normal,2.55
Normal,2.51
Normal,2.51
Normal,2.47
Normal,2.5
Normal,2.49
Normal,2.52
Normal,2.5
Normal,2.51
Normal,2.5
Normal,2.6
Normal,2.79
Normal,2.61
Normal,2.52
Normal,2.52
Normal,2.55
Normal,2.45
Normal,2.51
Normal,2.46
Normal,2.53
Normal,2.49
Normal,2.88
Normal,2.56
Normal,2.69
Normal,2.64
Normal,2.53
Normal,2.51
Normal,2.52
Normal,2.52
Normal,2.53
Normal,2.52
Normal,2.59
Normal,2.52
Normal,2.49
Normal,2.49
Normal,2.47
Normal,2.51
Normal,2.46
Normal,2.47
Normal,2.46
Normal,2.49
Normal,2.48
Normal,2.53
Normal,2.53
Normal,2.48
Normal,2.56
Normal,2.46
Normal,2.52
Normal,2.48
Normal,2.68
Normal,2.6
Normal,2.63
Normal,2.5
Normal,2.51
Normal,2.45
Normal,2.53
Normal,2.46
Normal,2.5
Normal,2.49
Normal,2.53
Normal,2.51
Normal,2.47
Normal,2.54
Normal,2.48
Normal,2.51
Normal,2.49
Normal,2.5
Normal,2.46
Normal,2.51
Normal,2.49
Normal,2.59
Normal,2.52
Normal,2.47
Normal,2.54
Normal,2.46
Normal,2.52
Normal,2.47
Normal,2.49
Normal,2.46
Normal,2.53
Normal,2.53
Normal,2.55
Normal,2.52
Normal,2.44
Normal,2.53
Normal,2.46
Normal,3.89
Normal,2.63
Normal,2.51
Normal,2.52
Normal,2.55
Normal,2.51
Normal,2.53
Normal,2.55
Normal,2.56
Normal,2.53
Normal,2.54
Normal,2.51
Normal,2.5
Normal,2.49
Normal,2.44
Normal,2.54
Normal,2.49
Normal,2.55
Normal,2.46
Normal,2.53
Normal,2.49
Normal,2.54
